user_id,item_id,score
1,12209,0
1,12233,1
1,12226,0
1,12245,0
1,12246,0
1,12241,0
1,12249,0
1,2975,0
1,3164,1
1,2959,0
1,3155,1
1,3150,0
1,11653,0
1,11813,1
1,11802,1
1,11354,0
1,11784,1
1,11334,0
1,11337,0
2,529,0
2,539,1
2,537,1
2,548,1
2,2783,0
2,2793,1
2,2747,0
2,11146,1
2,11163,1
2,11115,1
2,11142,1
2,11164,1
2,10955,1
2,10926,1
2,10896,1
2,10999,1
2,10951,1
3,1608,0
3,1613,0
3,1603,1
3,1600,0
3,1602,1
3,3256,1
3,1489,0
3,1471,1
3,1477,0
3,3280,0
3,1475,1
3,3273,1
3,3284,1
3,617,1
3,624,1
3,606,1
3,1622,1
3,1660,1
3,1696,1
3,1521,1
3,1828,1
3,11119,1
3,10796,1
3,10556,1
3,3512,1
3,10880,1
3,5043,1
3,1338,1
3,1234,1
3,1798,1
3,4448,0
3,4449,0
3,4450,1
3,1923,1
3,5573,0
3,5563,1
3,5568,1
3,5551,1
3,5539,1
3,4737,1
3,3108,1
3,233,1
3,5275,1
3,5278,1
3,2811,0
3,2825,1
3,2807,1
3,2809,1
3,2833,1
3,2840,1
3,3560,1
3,1464,0
3,1430,1
3,1439,1
3,1447,1
3,4188,1
3,3864,1
3,4719,1
3,4261,1
3,13356,0
3,13357,1
3,13358,1
3,13359,0
3,13428,0
3,13332,1
3,13440,1
3,13252,1
3,5507,1
3,5614,0
3,5623,1
3,5665,0
3,5666,1
3,5620,1
3,5641,0
3,4919,0
3,4963,0
3,4895,1
3,4922,1
3,4914,1
3,5774,0
3,5830,0
3,5805,0
3,5780,1
3,5818,0
3,5159,1
3,2750,1
3,2785,0
3,2740,1
3,7343,1
3,7107,0
3,10547,1
3,10517,1
3,10514,1
3,1619,1
3,7959,1
3,3278,1
3,607,1
3,609,1
3,629,1
3,623,1
3,628,1
3,7567,1
3,7072,1
3,7049,1
3,7188,1
3,7652,1
3,7747,0
3,7698,0
3,7767,1
3,7764,1
3,7701,1
3,3555,1
3,9227,0
3,9048,0
3,9063,0
3,9047,1
3,9049,1
3,9126,1
3,7503,0
3,7496,0
3,7486,1
3,7266,1
3,7487,1
3,9857,0
3,9839,1
3,9811,1
3,9889,1
3,8612,0
3,8540,1
3,8594,1
3,8543,1
3,1781,0
3,1792,1
3,1780,1
3,1797,1
3,1824,1
3,1172,1
3,8914,0
3,8998,0
3,8936,1
3,8826,1
3,8853,0
3,8958,0
3,8867,1
3,8988,1
3,8947,1
3,8933,1
3,8841,1
3,11016,1
3,11123,1
3,10786,1
3,7876,0
3,7833,1
3,7844,1
3,7848,1
3,7819,0
3,7827,1
3,7818,1
3,7808,1
3,3702,1
3,1221,1
3,4063,1
3,13472,1
3,13482,1
3,13463,1
3,13450,1
3,13485,1
3,3977,1
3,1327,1
3,4301,1
3,6445,1
3,6545,0
3,6542,0
3,6422,0
3,6470,0
3,6393,1
3,6531,1
3,6987,1
3,4466,0
3,4467,0
3,4468,0
3,968,1
3,4487,1
3,967,1
3,823,0
3,818,0
3,826,0
3,844,1
3,834,1
3,880,0
3,881,1
3,882,1
3,883,0
3,6893,1
3,6865,1
3,6901,1
3,6885,1
3,6892,1
3,4690,1
3,9375,1
3,4712,0
3,4722,1
3,4727,1
3,4723,1
3,3191,0
3,3212,0
3,9753,1
3,7438,1
3,7445,1
3,14612,0
3,7449,1
3,7457,1
3,9552,1
3,8209,1
3,7238,0
3,10534,1
3,6823,0
3,6814,0
3,6861,0
3,1551,1
3,5030,1
3,5546,1
3,6577,1
3,6589,0
3,8057,0
3,8062,0
3,8038,1
3,12998,1
3,8060,1
3,12993,1
3,8069,1
3,11666,1
3,11645,0
3,2777,0
3,2832,1
3,2820,1
3,2819,1
3,496,1
3,2710,0
3,2720,1
3,522,1
3,517,0
3,13424,0
3,13425,0
3,13426,0
3,13427,1
3,13364,0
3,13256,1
3,13376,1
3,13232,0
3,13233,0
3,13234,1
3,13235,1
3,13783,1
3,13988,1
3,14008,1
3,14018,1
3,13763,0
3,13764,0
3,13853,1
3,13973,0
3,13974,1
3,13888,1
3,13983,1
3,13943,1
3,11219,0
4,13888,0
4,13890,1
4,13891,1
4,13892,1
4,13898,1
4,13943,0
4,13945,1
4,13946,1
4,13947,1
4,13828,1
4,13963,1
4,13973,1
4,13918,0
4,13920,1
4,13921,1
4,13922,1
4,13803,1
4,13913,0
4,13915,1
4,13916,1
4,13917,1
4,13873,1
4,14003,1
5,1604,0
5,1601,1
5,1621,0
5,1607,1
5,1600,1
5,1616,1
5,1478,1
5,1492,1
5,616,1
5,1612,1
5,1656,1
5,1699,1
5,1593,1
5,1869,1
5,11135,1
5,10703,1
5,10579,1
5,3516,1
5,10988,1
5,5024,1
5,1359,1
5,1300,1
5,1792,1
5,4460,0
5,4461,1
5,4462,1
5,982,1
5,4448,1
5,7081,1
5,1429,1
5,1603,1
5,8108,1
5,1483,1
5,626,1
5,610,1
5,630,1
5,605,1
5,618,1
5,7538,1
5,7166,1
5,7029,0
5,7153,1
5,7189,1
5,7073,1
5,7608,1
5,7753,1
5,3560,1
5,9164,1
5,7780,1
5,9824,1
5,8537,1
5,1796,1
5,1888,1
5,3233,1
5,14085,0
5,14071,0
5,14057,1
5,14086,1
5,14068,1
5,8961,0
5,8862,0
5,8998,1
5,8872,1
5,8939,1
5,8991,0
5,8964,1
5,8913,1
5,8918,0
5,8828,1
5,8863,1
5,8853,0
5,8968,1
5,8997,1
5,8861,1
5,9002,1
5,8869,1
5,10548,1
5,11015,1
5,11189,1
5,10793,1
5,7844,1
5,7832,1
5,7814,1
5,7817,1
5,1650,1
5,8406,1
5,1734,1
5,3835,1
5,1215,1
5,4220,1
5,13464,1
5,13476,1
5,13452,1
5,13462,1
5,13461,1
5,3863,1
5,1369,1
5,4372,1
5,6399,1
5,6371,1
5,6532,0
5,6525,0
5,6350,1
5,6473,1
5,6541,0
5,6347,1
5,6511,0
5,6509,0
5,6508,1
5,6500,1
5,6368,1
5,6365,1
5,6491,1
5,6961,1
5,972,1
5,825,1
5,876,1
5,6906,1
5,6874,0
5,6880,1
5,6901,1
5,6914,1
5,6905,1
5,6867,1
5,4687,1
5,9320,1
5,4720,1
5,3224,1
5,3193,1
5,3189,1
5,9765,1
5,7990,1
5,7440,1
5,14608,1
5,7472,1
5,7429,1
5,7433,1
5,8729,1
5,8771,1
5,8767,1
5,8797,1
5,8805,1
5,9629,1
5,8196,0
5,8190,1
5,8257,1
5,8254,1
5,8436,1
5,11743,1
5,12901,0
5,11758,1
5,7007,0
5,7013,1
5,7287,1
5,7244,1
5,10534,1
5,6837,1
5,6819,1
5,6856,1
5,6858,0
5,6808,1
5,6846,1
5,6842,1
5,6831,1
5,6825,1
5,8304,1
5,1520,1
5,8625,1
5,3670,1
5,7344,1
5,1415,1
5,10588,1
5,7967,1
5,3265,1
5,614,1
5,604,1
5,601,1
5,621,1
5,7531,1
5,7093,1
5,7027,1
5,7145,1
5,7631,1
5,7703,1
5,3561,0
5,3555,1
5,3559,1
5,3558,1
5,9076,1
5,7786,1
5,9896,1
5,8610,1
5,1790,1
5,1820,1
5,3255,1
5,14063,0
5,14082,0
5,14070,0
5,14079,0
5,14062,1
5,14075,1
5,8846,1
5,8941,1
5,8921,0
5,8990,0
