concept_1,concept_2
2,1
54,1
97,1
103,1
1,2
97,2
103,2
5,3
1,4
2,4
5,4
103,4
2,5
102,5
103,9
36,16
44,16
50,16
74,16
78,16
5,17
30,17
44,17
45,17
102,17
43,18
48,18
90,18
33,19
36,19
68,19
75,19
103,19
5,20
102,20
17,21
36,21
74,21
103,21
103,23
5,24
36,24
63,24
73,25
74,25
36,28
5,29
103,29
17,30
36,32
103,32
110,32
19,33
36,33
68,33
75,33
95,34
36,35
75,35
103,35
19,36
33,36
68,36
75,36
103,36
74,40
5,42
18,43
48,43
90,43
17,44
45,44
17,45
44,45
18,48
43,48
90,48
50,49
52,49
78,49
96,49
16,50
44,50
49,50
52,50
78,50
96,50
100,50
49,52
50,52
78,52
96,52
100,52
5,53
36,53
102,54
103,54
5,55
36,55
5,56
103,57
91,58
103,58
103,59
103,60
62,61
63,61
103,61
61,62
64,62
95,62
2,63
61,63
62,64
95,64
2,66
97,66
110,66
19,68
33,68
36,68
54,68
75,68
102,68
103,68
104,68
5,70
17,70
102,70
25,73
74,73
25,74
40,74
73,74
100,74
103,74
5,75
19,75
33,75
36,75
68,75
103,75
103,76
16,78
40,78
49,78
50,78
52,78
74,78
96,78
100,78
103,78
103,83
75,85
18,87
43,87
48,87
78,87
90,87
103,88
18,90
43,90
48,90
58,91
103,91
34,95
62,95
64,95
49,96
50,96
52,96
78,96
1,97
2,97
54,97
66,97
103,97
110,97
2,100
40,100
49,100
50,100
52,100
74,100
75,100
78,100
103,100
5,102
54,102
103,102
54,103
75,103
102,103
68,104
110,108
110,109
