cluster,mean score,mean proficiency
2,0.5789473684210527,0.5221346740638003
0,0.8461538461538461,0.47318696255201104
1,0.8461538461538461,0.49555020804438277
0,0.925,0.48855270457697636
3,0.6666666666666666,0.5256911234396672
1,0.8695652173913043,0.5015678224687934
0,0.782608695652174,0.5160610263522886
3,0.75,0.5064122052704577
2,0.881578947368421,0.46001816920943134
1,0.6451612903225806,0.5135061026352289
2,0.8125,0.4909411927877947
1,0.45454545454545453,0.5052733703190014
2,0.6868686868686869,0.49955686546463246
0,0.9310344827586207,0.4671754507628294
0,0.75,0.514499306518724
2,0.8333333333333334,0.5361353675450762
0,0.9696969696969697,0.5213747572815534
0,1.0,0.5067864077669904
3,0.6666666666666666,0.49398765603328715
0,0.875,0.47155589459084607
3,0.6875,0.4858055478502081
0,0.9090909090909091,0.5089158113730929
2,0.5333333333333333,0.5049887656033287
0,0.8367346938775511,0.5101041608876561
1,0.7777777777777778,0.49808515950069354
3,0.631578947368421,0.4998607489597781
3,0.49019607843137253,0.5086045769764216
3,0.6363636363636364,0.5234785020804438
2,0.7692307692307693,0.5333005547850208
3,0.5882352941176471,0.5009833564493759
2,0.7777777777777778,0.4939124826629681
3,0.5434782608695652,0.5195024965325936
0,0.9655172413793104,0.48852260748959775
0,0.8857142857142857,0.48390055478502086
3,0.7666666666666667,0.502530374479889
1,0.9375,0.5267411927877947
2,0.8125,0.5059876560332871
2,0.5806451612903226,0.5280764216366158
3,0.72,0.52799653259362
1,0.8152173913043478,0.484486823855756
0,0.7894736842105263,0.4934184466019417
3,0.8095238095238095,0.49369819694868244
1,0.7857142857142857,0.5192319001386962
3,0.4375,0.5010754507628294
2,0.7307692307692307,0.49302454923717065
0,0.8571428571428571,0.49783841886269076
2,0.6875,0.49735187239944517
0,0.9142857142857143,0.5286667128987518
0,0.7272727272727273,0.48787725381414704
3,0.8888888888888888,0.47402773925104025
1,0.5555555555555556,0.5353525658807212
2,0.7647058823529411,0.5310952843273232
1,0.65,0.5225933425797503
3,0.6933333333333334,0.5278224687933426
3,0.5185185185185185,0.5310514563106796
3,0.95,0.48957877947295425
0,0.8947368421052632,0.5207446601941748
0,0.9411764705882353,0.506545492371706
2,0.9090909090909091,0.4834988904299584
1,0.7894736842105263,0.5287361997226074
3,0.7878787878787878,0.529622052704577
0,0.6944444444444444,0.48145728155339806
0,0.9636363636363636,0.5158764216366158
1,0.8166666666666667,0.5151176144244106
0,0.9736842105263158,0.47506920943134534
2,0.6842105263157895,0.5200156726768377
2,0.7241379310344828,0.49346449375866847
0,0.9545454545454546,0.5089488210818308
0,0.8,0.5138991678224688
1,0.8823529411764706,0.4917117891816921
0,0.9649122807017544,0.4924421636615811
0,0.8791208791208791,0.497627600554785
1,0.8,0.5114343966712899
1,0.9090909090909091,0.5065947295423024
1,0.8064516129032258,0.48569708737864076
0,0.8529411764705882,0.5139744798890429
2,0.8536585365853658,0.5214823855755895
2,0.9375,0.5086381414701804
3,0.8125,0.480190984743412
1,0.782608695652174,0.4800431345353675
0,1.0,0.5001851595006935
2,0.7058823529411765,0.5008018030513175
3,0.40625,0.5223977808599167
1,0.8125,0.4929355062413315
3,0.5789473684210527,0.501691678224688
3,0.7272727272727273,0.5144550624133148
1,0.7352941176470589,0.5000803051317615
0,0.9636363636363636,0.4890368932038835
2,0.8888888888888888,0.5140699029126213
3,0.6129032258064516,0.4835074895977809
1,0.8333333333333334,0.49086269070735095
3,0.5875,0.5078528432732317
1,0.7703703703703704,0.5322334257975034
1,0.8,0.5190514563106796
2,0.8620689655172413,0.49219916782246875
0,0.9310344827586207,0.49450915395284334
3,0.5,0.49336019417475735
0,0.9180327868852459,0.4890316227461859
0,0.8947368421052632,0.48171636615811375
1,0.6666666666666666,0.4855983356449376
1,0.7450980392156863,0.5120163661581137
0,0.890625,0.48303689320388354
2,0.6764705882352942,0.49166920943134534
0,0.8689655172413793,0.5095196948682386
1,0.8947368421052632,0.4905388349514563
3,0.4931506849315068,0.5220984743411928
3,0.8,0.49474979195561714
0,0.8932584269662921,0.4972251040221915
0,0.8888888888888888,0.509202080443828
2,0.7105263157894737,0.4847198335644938
3,0.7037037037037037,0.5104667128987518
2,0.7272727272727273,0.5033216366158114
1,0.5161290322580645,0.5163647711511788
3,0.7037037037037037,0.49592219140083216
1,0.7058823529411765,0.4801097087378642
0,0.8666666666666667,0.5194413314840499
3,0.35294117647058826,0.5108029126213592
3,0.34210526315789475,0.501845492371706
2,0.5957446808510638,0.4760546463245492
2,0.9090909090909091,0.51564826629681
0,0.8823529411764706,0.4826694868238558
1,0.6341463414634146,0.5107629680998613
0,0.837037037037037,0.49794854368932034
3,0.6363636363636364,0.5264030513176144
3,0.6666666666666666,0.5033543689320388
1,0.6521739130434783,0.5125159500693482
3,0.5,0.48740554785020807
0,0.9,0.5147633841886269
1,0.6938775510204082,0.5063740638002774
1,0.8064516129032258,0.538894452149792
3,0.5625,0.5211658807212205
1,0.8275862068965517,0.5103887656033288
1,0.8045977011494253,0.5124429958391123
1,0.9310344827586207,0.4886704576976422
1,0.64,0.4989288488210818
3,0.5897435897435898,0.5511873786407767
1,0.6595744680851063,0.5041257975034674
0,0.8888888888888888,0.5077097087378641
1,0.8275862068965517,0.4996898751733704
3,0.6875,0.5369886269070736
3,0.84375,0.5216812760055478
0,0.8160919540229885,0.5044846047156727
1,0.8717948717948718,0.4576199722607489
0,1.0,0.5008545076282941
0,1.0,0.47828432732316223
3,0.5294117647058824,0.5143285714285715
0,0.8222222222222222,0.47244424410540914
3,0.5166666666666667,0.5125350901525659
1,0.9655172413793104,0.4541079056865465
1,0.75,0.48992357836338424
2,0.8205128205128205,0.5001410540915395
2,0.875,0.5058880721220528
0,0.7368421052631579,0.5017445214979196
1,0.8333333333333334,0.5032122052704577
1,0.8125,0.49373592233009705
2,0.7674418604651163,0.4881226074895978
1,0.5925925925925926,0.5182699029126213
1,0.5294117647058824,0.5074471567267684
2,0.5428571428571428,0.4933018030513176
0,0.6111111111111112,0.502425520110957
1,0.55,0.5065877947295424
1,0.56,0.48744701803051316
0,0.6857142857142857,0.4688735090152566
3,0.7222222222222222,0.5118789181692095
